Time(ms),Source IP, Source Port, Dest IP, Dest Port,Throughput(Mbps)
100,192.168.1.2,49153,192.168.3.2,9,0.00864
100,192.168.2.2,49153,192.168.3.2,10,0.00864
100,192.168.3.2,9,192.168.1.2,49153,0.00448
100,192.168.3.2,10,192.168.2.2,49153,0.00448
200,192.168.1.2,49153,192.168.3.2,9,0
200,192.168.2.2,49153,192.168.3.2,10,0
200,192.168.3.2,9,192.168.1.2,49153,0
200,192.168.3.2,10,192.168.2.2,49153,0
300,192.168.1.2,49153,192.168.3.2,9,0
300,192.168.2.2,49153,192.168.3.2,10,0
300,192.168.3.2,9,192.168.1.2,49153,0
300,192.168.3.2,10,192.168.2.2,49153,0
400,192.168.1.2,49153,192.168.3.2,9,0
400,192.168.2.2,49153,192.168.3.2,10,0
400,192.168.3.2,9,192.168.1.2,49153,0
400,192.168.3.2,10,192.168.2.2,49153,0
500,192.168.1.2,49153,192.168.3.2,9,0
500,192.168.2.2,49153,192.168.3.2,10,0
500,192.168.3.2,9,192.168.1.2,49153,0
500,192.168.3.2,10,192.168.2.2,49153,0
500,192.168.5.2,49153,192.168.6.2,9,0
500,192.168.5.2,49154,192.168.7.2,10,0
500,192.168.5.2,49155,192.168.8.2,10,0
500,192.168.6.2,49153,192.168.7.2,11,0
500,192.168.6.2,49154,192.168.8.2,11,0
500,192.168.8.2,49153,192.168.8.2,9,0
600,192.168.1.2,49153,192.168.3.2,9,0
600,192.168.2.2,49153,192.168.3.2,10,0
600,192.168.3.2,9,192.168.1.2,49153,0
600,192.168.3.2,10,192.168.2.2,49153,0
600,192.168.5.2,49153,192.168.6.2,9,105.616
600,192.168.5.2,49154,192.168.7.2,10,183.51
600,192.168.5.2,49155,192.168.8.2,10,183.377
600,192.168.6.2,49153,192.168.7.2,11,183.51
600,192.168.6.2,49154,192.168.8.2,11,183.506
600,192.168.8.2,49153,192.168.8.2,9,0.00448
600,192.168.8.2,9,192.168.8.2,49153,0.0032
600,192.168.6.2,9,192.168.5.2,49153,6.81856
600,192.168.7.2,11,192.168.6.2,49153,11.7107
600,192.168.7.2,10,192.168.5.2,49154,11.7107
600,192.168.8.2,11,192.168.6.2,49154,11.7066
600,192.168.8.2,10,192.168.5.2,49155,11.7066
700,192.168.1.2,49153,192.168.3.2,9,0
700,192.168.2.2,49153,192.168.3.2,10,0
700,192.168.3.2,9,192.168.1.2,49153,0
700,192.168.3.2,10,192.168.2.2,49153,0
700,192.168.5.2,49153,192.168.6.2,9,106.891
700,192.168.5.2,49154,192.168.7.2,10,187.091
700,192.168.5.2,49155,192.168.8.2,10,187.219
700,192.168.6.2,49153,192.168.7.2,11,187.091
700,192.168.6.2,49154,192.168.8.2,11,187.091
700,192.168.8.2,49153,192.168.8.2,9,0
700,192.168.8.2,9,192.168.8.2,49153,0
700,192.168.6.2,9,192.168.5.2,49153,6.93056
700,192.168.7.2,11,192.168.6.2,49153,12.1347
700,192.168.7.2,10,192.168.5.2,49154,12.1306
700,192.168.8.2,11,192.168.6.2,49154,12.1306
700,192.168.8.2,10,192.168.5.2,49155,12.1306
800,192.168.1.2,49153,192.168.3.2,9,0
800,192.168.2.2,49153,192.168.3.2,10,0
800,192.168.3.2,9,192.168.1.2,49153,0
800,192.168.3.2,10,192.168.2.2,49153,0
800,192.168.5.2,49153,192.168.6.2,9,106.891
800,192.168.5.2,49154,192.168.7.2,10,187.219
800,192.168.5.2,49155,192.168.8.2,10,187.091
800,192.168.6.2,49153,192.168.7.2,11,187.219
800,192.168.6.2,49154,192.168.8.2,11,187.091
800,192.168.8.2,49153,192.168.8.2,9,0
800,192.168.8.2,9,192.168.8.2,49153,0
800,192.168.6.2,9,192.168.5.2,49153,6.93888
800,192.168.7.2,11,192.168.6.2,49153,12.1347
800,192.168.7.2,10,192.168.5.2,49154,12.1389
800,192.168.8.2,11,192.168.6.2,49154,12.1347
800,192.168.8.2,10,192.168.5.2,49155,12.1306
900,192.168.1.2,49153,192.168.3.2,9,0
900,192.168.2.2,49153,192.168.3.2,10,0
900,192.168.3.2,9,192.168.1.2,49153,0
900,192.168.3.2,10,192.168.2.2,49153,0
900,192.168.5.2,49153,192.168.6.2,9,107.019
900,192.168.5.2,49154,192.168.7.2,10,187.091
900,192.168.5.2,49155,192.168.8.2,10,187.091
900,192.168.6.2,49153,192.168.7.2,11,187.091
900,192.168.6.2,49154,192.168.8.2,11,187.219
900,192.168.8.2,49153,192.168.8.2,9,0
900,192.168.8.2,9,192.168.8.2,49153,0
900,192.168.6.2,9,192.168.5.2,49153,6.93056
900,192.168.7.2,11,192.168.6.2,49153,12.1306
900,192.168.7.2,10,192.168.5.2,49154,12.1306
900,192.168.8.2,11,192.168.6.2,49154,12.1347
900,192.168.8.2,10,192.168.5.2,49155,12.1389
1000,192.168.1.2,49153,192.168.3.2,9,0
1000,192.168.2.2,49153,192.168.3.2,10,0
1000,192.168.3.2,9,192.168.1.2,49153,0
1000,192.168.3.2,10,192.168.2.2,49153,0
1000,192.168.5.2,49153,192.168.6.2,9,106.891
1000,192.168.5.2,49154,192.168.7.2,10,187.091
1000,192.168.5.2,49155,192.168.8.2,10,187.219
1000,192.168.6.2,49153,192.168.7.2,11,187.091
1000,192.168.6.2,49154,192.168.8.2,11,187.091
1000,192.168.8.2,49153,192.168.8.2,9,0
1000,192.168.8.2,9,192.168.8.2,49153,0
1000,192.168.6.2,9,192.168.5.2,49153,6.93056
1000,192.168.7.2,11,192.168.6.2,49153,12.1347
1000,192.168.7.2,10,192.168.5.2,49154,12.1306
1000,192.168.8.2,11,192.168.6.2,49154,12.1306
1000,192.168.8.2,10,192.168.5.2,49155,12.1306
1100,192.168.1.2,49153,192.168.3.2,9,25.5616
1100,192.168.2.2,49153,192.168.3.2,10,620.759
1100,192.168.3.2,9,192.168.1.2,49153,1.3168
1100,192.168.3.2,10,192.168.2.2,49153,28.6746
1100,192.168.5.2,49153,192.168.6.2,9,106.891
1100,192.168.5.2,49154,192.168.7.2,10,24.3629
1100,192.168.5.2,49155,192.168.8.2,10,24.0563
1100,192.168.6.2,49153,192.168.7.2,11,28.9491
1100,192.168.6.2,49154,192.168.8.2,11,23.8045
1100,192.168.8.2,49153,192.168.8.2,9,0
1100,192.168.8.2,9,192.168.8.2,49153,0
1100,192.168.6.2,9,192.168.5.2,49153,6.93888
1100,192.168.7.2,11,192.168.6.2,49153,2.0112
1100,192.168.7.2,10,192.168.5.2,49154,1.65056
1100,192.168.8.2,11,192.168.6.2,49154,1.72768
1100,192.168.8.2,10,192.168.5.2,49155,1.60608
1200,192.168.1.2,49153,192.168.3.2,9,0
1200,192.168.2.2,49153,192.168.3.2,10,900.036
1200,192.168.3.2,9,192.168.1.2,49153,0
1200,192.168.3.2,10,192.168.2.2,49153,58.3981
1200,192.168.5.2,49153,192.168.6.2,9,107.019
1200,192.168.5.2,49154,192.168.7.2,10,0
1200,192.168.5.2,49155,192.168.8.2,10,0
1200,192.168.6.2,49153,192.168.7.2,11,0
1200,192.168.6.2,49154,192.168.8.2,11,0
1200,192.168.8.2,49153,192.168.8.2,9,0
1200,192.168.8.2,9,192.168.8.2,49153,0
1200,192.168.6.2,9,192.168.5.2,49153,6.93056
1200,192.168.7.2,11,192.168.6.2,49153,0
1200,192.168.7.2,10,192.168.5.2,49154,0
1200,192.168.8.2,11,192.168.6.2,49154,0
1200,192.168.8.2,10,192.168.5.2,49155,0
1300,192.168.1.2,49153,192.168.3.2,9,0
1300,192.168.2.2,49153,192.168.3.2,10,900.806
1300,192.168.3.2,9,192.168.1.2,49153,0
1300,192.168.3.2,10,192.168.2.2,49153,58.3565
1300,192.168.5.2,49153,192.168.6.2,9,106.891
1300,192.168.5.2,49154,192.168.7.2,10,0
1300,192.168.5.2,49155,192.168.8.2,10,0
1300,192.168.6.2,49153,192.168.7.2,11,0
1300,192.168.6.2,49154,192.168.8.2,11,0
1300,192.168.8.2,49153,192.168.8.2,9,0
1300,192.168.8.2,9,192.168.8.2,49153,0
1300,192.168.6.2,9,192.168.5.2,49153,6.93888
1300,192.168.7.2,11,192.168.6.2,49153,0
1300,192.168.7.2,10,192.168.5.2,49154,0
1300,192.168.8.2,11,192.168.6.2,49154,0
1300,192.168.8.2,10,192.168.5.2,49155,0
1400,192.168.1.2,49153,192.168.3.2,9,0
1400,192.168.2.2,49153,192.168.3.2,10,900.036
1400,192.168.3.2,9,192.168.1.2,49153,0
1400,192.168.3.2,10,192.168.2.2,49153,58.4064
1400,192.168.5.2,49153,192.168.6.2,9,106.891
1400,192.168.5.2,49154,192.168.7.2,10,0
1400,192.168.5.2,49155,192.168.8.2,10,0
1400,192.168.6.2,49153,192.168.7.2,11,0
1400,192.168.6.2,49154,192.168.8.2,11,0
1400,192.168.8.2,49153,192.168.8.2,9,0
1400,192.168.8.2,9,192.168.8.2,49153,0
1400,192.168.6.2,9,192.168.5.2,49153,6.93056
1400,192.168.7.2,11,192.168.6.2,49153,0
